brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Display | ,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Triple,Main Camera | Single,Selfie camera | Dual,Battery | Stand-by,Battery | Talk time,Battery | Music play
sony,https://www.gsmarena.com/sony_xperia_10_vii_5g-14137.php,Sony Xperia 10 VII,153 x 72 x 8.3 mm (6.02 x 2.83 x 0.33 in),168 g (5.93 oz),"Glass front (Gorilla Glass Victus 2), plastic frame, plastic back",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, 120Hz, HDR","6.1 inches, 91.3 cm 2 (~82.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)","Corning Gorilla Glass Victus 2, Mohs level 5",Triluminos display,"Android 15, upgradable to Android 16, up to 4 major Android upgrades",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC (uses shared SIM slot),128GB 8GB RAM,UFS,"50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS 13 MP, f/2.4, 16mm, 123˚ (ultrawide), 1/3.0""","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",HDR,1080p@30fps,5000 mAh,"Wired, PD, QC",,,,,,
sony,https://www.gsmarena.com/sony_xperia_1_vii_5g-13843.php,Sony Xperia 1 VII,162 x 74 x 8.2 mm (6.38 x 2.91 x 0.32 in),197 g (6.95 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus), aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"LTPO OLED, 1B colors, 120Hz, HDR BT.2020","6.5 inches, 103.7 cm 2 (~86.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Corning Gorilla Glass Victus 2, Mohs level 5",,"Android 15, up to 4 major Android upgrades",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,microSDXC (uses shared SIM slot),"256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.22µm",HDR,"4K@30/60fps, 1080p@30/60fps, 5-axis gyro-EIS",5000 mAh,"30W wired, PD3.0, PPS, 50% in 30 min 15W wireless Reverse wireless","48 MP, f/1.9, 24mm (wide), 1/1.35"", 1.12µm, dual pixel PDAF, OIS 12 MP, f/2.3, 85mm (telephoto), f/3.5, 170mm (telephoto), 1/3.5"", 1.0µm, dual pixel PDAF, 3.5x-7.1x continuous optical zoom, OIS, 4cm macro @ 120mm, no AF 48 MP, f/2.0, 16mm (ultrawide), 1/1.56"", 1.0µm, PDAF",,,,,
sony,https://www.gsmarena.com/sony_xperia_1_vi-13003.php,Sony Xperia 1 VI,162 x 74 x 8.2 mm (6.38 x 2.91 x 0.32 in),192 g (6.77 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus), aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"LTPO OLED, 1B colors, 120Hz, HDR BT.2020","6.5 inches, 103.7 cm 2 (~86.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",Corning Gorilla Glass Victus 2,,"Android 14, upgradable to Android 16, up to 3 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,microSDXC (uses shared SIM slot),"256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.22µm",HDR,"4K@30/60fps, 1080p@30/60fps, 5-axis gyro-EIS",5000 mAh,"30W wired, PD3.0, PPS, 50% in 30 min 15W wireless Reverse wireless","48 MP, f/1.9, 24mm (wide), 1/1.35"", 1.12µm, dual pixel PDAF, OIS 12 MP, f/2.3, 85mm (telephoto), f/3.5, 170mm (telephoto), 1/3.5"", 1.0µm, dual pixel PDAF, 3.5x-7.1x continuous optical zoom, OIS, 4cm macro @ 120mm, no AF 12 MP, f/2.2, 16mm, 123˚ (ultrawide), 1/2.5"", 1.4µm, dual pixel PDAF",,,,,
sony,https://www.gsmarena.com/sony_xperia_10_vi-13002.php,Sony Xperia 10 VI,155 x 68 x 8.3 mm (6.10 x 2.68 x 0.33 in),164 g (5.78 oz),"Glass front (Gorilla Glass Victus), plastic frame, plastic back",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, HDR","6.1 inches, 86.9 cm 2 (~82.5% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)",Corning Gorilla Glass Victus,Triluminos display,"Android 14, upgradable to Android 16, up to 3 major Android upgrades",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC (uses shared SIM slot),128GB 8GB RAM,UFS,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS 8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",HDR,1080p@30fps,5000 mAh,"Wired, PD, QC",,,,,,
sony,https://www.gsmarena.com/sony_xperia_5_v-12534.php,Sony Xperia 5 V,154 x 68 x 8.6 mm (6.06 x 2.68 x 0.34 in),182 g (6.42 oz),"Glass front (Gorilla Glass Victus 2), glass back, aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, 120Hz, HDR10, BT.2020","6.1 inches, 86.9 cm 2 (~83.0% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)",Corning Gorilla Glass Victus 2,,"Android 13, upgradable to Android 15",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM",UFS,"48 MP, f/1.9, 24mm (wide), 1/1.35"", 1.12µm, dual pixel PDAF, OIS 12 MP, f/2.2, 16mm (ultrawide), 1/2.5"", dual pixel PDAF","Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm",HDR,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS",Li-Po 5000 mAh,"30W wired, PD3.0, PPS, 50% in 30 min Wireless Reverse wireless",,,,,,
sony,https://www.gsmarena.com/sony_xperia_1_v-12263.php,Sony Xperia 1 V,165 x 71 x 8.3 mm (6.50 x 2.80 x 0.33 in),187 g (6.60 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus), aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, 120Hz, HDR BT.2020","6.5 inches, 98.6 cm 2 (~84.2% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)",Corning Gorilla Glass Victus 2,,"Android 13, upgradable to Android 15",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,microSDXC (uses shared SIM slot),"256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm",HDR,"4K@30/60fps, 1080p@30/60fps, 5-axis gyro-EIS",Li-Po 5000 mAh,"30W wired, PD3.0, PPS, 50% in 30 min Wireless Reverse wireless","48 MP, f/1.9, 24mm (wide), 1/1.35"", 1.12µm, dual pixel PDAF, OIS 12 MP, f/2.3, 85mm (telephoto), f/2.8, 125mm (telephoto), 1/3.5"", dual pixel PDAF, 3.5x-5.2x continuous optical zoom, OIS 12 MP, f/2.2, 16mm (ultrawide), 1/2.5"", dual pixel PDAF",,,,,
sony,https://www.gsmarena.com/sony_xperia_10_v-12264.php,Sony Xperia 10 V,155 x 68 x 8.3 mm (6.10 x 2.68 x 0.33 in),159 g (5.61 oz),"Glass front (Gorilla Glass Victus), plastic frame, plastic back",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, HDR","6.1 inches, 86.9 cm 2 (~82.5% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)",Corning Gorilla Glass Victus,Triluminos display,"Android 13, upgradable to Android 15",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM",UFS,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",HDR,1080p@30fps,Li-Po 5000 mAh,"Wired, PD, QC","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS 8 MP, f/2.2, 54mm (telephoto), 1/4.4"", 1.0µm, PDAF, 2x optical zoom 8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm",,,,,
sony,https://www.gsmarena.com/sony_xperia_5_iv-11838.php,Sony Xperia 5 IV,156 x 67 x 8.2 mm (6.14 x 2.64 x 0.32 in),172 g (6.07 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, 120Hz, HDR BT.2020","6.1 inches, 86.9 cm 2 (~83.2% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)",Corning Gorilla Glass Victus,,"Android 12, upgradable to Android 13",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM",UFS 3.X,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm",HDR,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS",Li-Po 5000 mAh,"Wired, PD3.0, 50% in 30 min Wireless Reverse wireless","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, dual pixel PDAF, OIS 12 MP, f/2.4, 60mm (telephoto), 1/3.5"", dual pixel PDAF, OIS 12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.5"", dual pixel PDAF",,,,,
sony,https://www.gsmarena.com/sony_xperia_1_iv-11521.php,Sony Xperia 1 IV,165 x 71 x 8.2 mm (6.50 x 2.80 x 0.32 in),185 g (6.53 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, 120Hz, HDR BT.2020","6.5 inches, 98.6 cm 2 (~84.2% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)",Corning Gorilla Glass Victus,Runs at 1096 x 2560 pixels except for select use cases,"Android 12, upgradable to Android 13",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,microSDXC (uses shared SIM slot),"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",UFS,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm",HDR,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS",Li-Po 5000 mAh,"30W wired, PD3.0, PPS, 50% in 30 min Wireless Reverse wireless","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, dual pixel PDAF, OIS 12 MP, f/2.3, 85mm (telephoto), f/2.8, 125mm (telephoto), 1/3.5"", dual pixel PDAF, 3.5x-5.2x continuous optical zoom, OIS 12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.5"", dual pixel PDAF 0.3 MP, TOF 3D, (depth)",,,,,
sony,https://www.gsmarena.com/sony_xperia_10_iv-11522.php,Sony Xperia 10 IV,153 x 67 x 8.3 mm (6.02 x 2.64 x 0.33 in),161 g (5.68 oz),"Glass front (Gorilla Glass Victus), plastic frame, plastic back",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, HDR","6.0 inches, 84.1 cm 2 (~82.0% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",Corning Gorilla Glass Victus,Triluminos display,"Android 12, upgradable to Android 14",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),128GB 6GB RAM,UFS,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 27mm (wide), 1/4.0""",HDR,1080p@30fps,Li-Po 5000 mAh,"21W wired (unofficial rating), PD, QC","12 MP, f/1.8, 27mm (wide), 1/2.8"", PDAF, OIS 8 MP, f/2.2, 54mm (telephoto), 1/4.4"", PDAF, 2x optical zoom 8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0""",,,,,
sony,https://www.gsmarena.com/sony_xperia_pro_i-11174.php,Sony Xperia Pro-I,166 x 72 x 8.9 mm (6.54 x 2.83 x 0.35 in),211 g (7.44 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM + Nano-SIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, 120Hz, HDR BT.2020","6.5 inches, 98.6 cm 2 (~82.5% screen-to-body ratio)","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)",Corning Gorilla Glass Victus,Runs at 1096 x 2560 pixels except for select use cases,"Android 11, upgradable to Android 13",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,microSDXC (uses shared SIM slot),512GB 12GB RAM,UFS 3.X,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, 12-bit RAW, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",HDR,"1080p@30fps, 5-axis gyro-EIS",Li-Po 4500 mAh,"30W wired, PD, 50% in 30 min","12 MP, f/2.0-4.0, 24mm (wide), 1.0""-type, 2.4µm, dual pixel PDAF, OIS (315 PDAF points, 90% frame coverage) 12 MP, f/2.4, 50mm (telephoto), 1/2.9"", PDAF, 2x optical zoom, OIS 12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", dual pixel PDAF 0.3 MP, TOF 3D, (depth)",,,,,
sony,https://www.gsmarena.com/sony_xperia_10_iii_lite-11064.php,Sony Xperia 10 III Lite,154 x 68 x 8.3 mm (6.06 x 2.68 x 0.33 in),169 g (5.96 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), plastic frame",Nano-SIM + eSIM,IP65/IP68 dust tight and water resistant (low pressure water jets; immersible up to 1.5m for 30 min),"OLED, 1B colors, HDR","6.0 inches, 84.1 cm 2 (~80.3% screen-to-body ratio)","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",Corning Gorilla Glass 6,Triluminos display,Android 11,Qualcomm SM6350 Snapdragon 690 5G (8 nm),Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver),Adreno 619,microSDXC (uses shared SIM slot),64GB 6GB RAM,UFS,,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.0, 24mm (wide), 1/4.0""",HDR,1080p@30fps,Li-Po 4500 mAh,"30W wired, PD, QC","12 MP, f/1.8, 27mm (wide), 1/2.8"", PDAF 8 MP, f/2.4, 54mm (telephoto), 1/4.0"", PDAF, 2x optical zoom 8 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/4.0""",,,,,
