brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Single,Display | ,Selfie camera | Features,Main Camera | Triple,Main Camera | Quad
motorola,https://www.gsmarena.com/motorola_moto_g87_5g-14644.php,Motorola Moto G87,164.5 x 77.3 x 7.3 mm (6.48 x 3.04 x 0.29 in),183 g (6.46 oz),"Glass front (Gorilla Glass 7i), plastic frame, silicone polymer (eco leather) back",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 1B colors, 120Hz, HDR, 5000 nits (peak)","6.78 inches, 112.4 cm 2 (~88.4% screen-to-body ratio)","1272 x 2772 pixels, 19.5:9 ratio (~450 ppi density)",Corning Gorilla Glass 7i,Android 16,Mediatek Dimensity 6400 (6 nm),Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM",UFS 2.2,"200 MP, f/1.8, (wide), 0.5µm, PDAF, OIS 8 MP, f/2.2, 118˚ (ultrawide), 1.12µm","LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","32 MP, f/2.2, (wide)","1440p@30fps, 1080p@30fps",5200 mAh,30W wired,,,,,
motorola,https://www.gsmarena.com/motorola_moto_g47-14645.php,Motorola Moto G47,166.2 x 76.5 x 7.8 mm (6.54 x 3.01 x 0.31 in),191 g (6.74 oz),"Glass front (Gorilla Glass 3), plastic frame, silicone polymer (eco leather) back",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"IPS LCD, 120Hz","6.67 inches, 107.4 cm 2 (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Corning Gorilla Glass 7i,Android 16,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,"108 MP, f/1.7, (wide), 0.64µm, PDAF 2 MP (macro)","LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","8 MP, f/2.0, 1.12µm","2K@30fps, 1080p@30/60fps",5200 mAh,20W wired 6W reverse wired,,,,,
motorola,https://www.gsmarena.com/motorola_moto_g37_power-14647.php,Motorola Moto G37 Power,166.2 x 76.5 x 8.8 mm (6.54 x 3.01 x 0.35 in),215 g (7.58 oz),"Glass front (Gorilla Glass 7i), plastic frame, silicone polymer (eco leather) back",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP64 water resistant MIL-STD 810H certified,"IPS LCD, 120Hz, 1050 nits (peak)","6.67 inches, 107.2 cm 2 (~84.3% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",Corning Gorilla Glass 7i,Android 16,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 256GB 4GB RAM",UFS 2.2,,"Dual-LED flash, HDR, panorama","2K@30fps, 1080p@30/60fps","8 MP, f/2.0, 1.12µm","2K@30fps, 1080p@30fps",7000 mAh,30W wired 6W reverse wired,"50 MP, f/1.8, 0.61µm, PDAF",,,,
motorola,https://www.gsmarena.com/motorola_moto_g37-14646.php,Motorola Moto G37,166.2 x 76.5 x 7.8 mm (6.54 x 3.01 x 0.31 in),191 g (6.74 oz),"Glass front (Gorilla Glass 7i), plastic back or silicone polymer (eco leather), plastic frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"IPS LCD, 120Hz, HDR10, 1050 nits (peak)","6.67 inches, 107.2 cm 2 (~84.3% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)","Corning Gorilla Glass 7i, Mohs level 4",Android 16,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",UFS 2.2,,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","8 MP, f/2.0, (wide), 1.12µm","1440p@30fps, 1080p@30fps",5200 mAh,20W wired 6W reverse wired,"50 MP, f/1.8, (wide), 0.61µm, PDAF",,,,
motorola,https://www.gsmarena.com/motorola_razr_ultra_2026-14638.php,Motorola Razr Ultra 2026,Unfolded: 171.5 x 74 x 7.2 mm Folded: 88.1 x 74 x 15.7 mm,199 g (7.02 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Ceramic), aluminum frame",Nano-SIM + eSIM,IP48 dust and water resistant (dust > 1mm; immersible up to 1.5m for 30 min),"Foldable LTPO AMOLED, 1B colors, 165Hz, Dolby Vision, HDR10+, 5000 nits (peak)","7.0 inches, 110.8 cm 2 (~87.3% screen-to-body ratio)",1224 x 2992 pixels (~462 ppi density),,Android 16,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),No,512GB 16GB RAM,UFS 4.0,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS 50 MP, f/2.0, 122˚ (ultrawide), 1/2.93"", 0.6µm","LED flash, panorama, HDR, Pantone Validated Colour and Skin Tones","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, Dolby Vision, HDR10+","50 MP, f/2.0, (wide), 0.64µm","4K@30/60fps, 1080p@30/60fps",5000 mAh,68W wired 30W wireless 5W reverse wired,,"Second external LTPO AMOLED, 1B colors, Dolby Vision, 165Hz, HDR10+, 3000 nits (peak) 4 inches, 1272 x 1080 pixels, 417 ppi, Gorilla Glass Ceramic",,,
motorola,https://www.gsmarena.com/motorola_razr_70_ultra-14641.php,Motorola Razr 70 Ultra,Unfolded: 171.5 x 74 x 7.2 mm Folded: 88.1 x 74 x 15.7 mm,199 g (7.02 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Ceramic), aluminum frame",Nano-SIM + eSIM,IP48 dust and water resistant (dust > 1mm; immersible up to 1.5m for 30 min),"Foldable LTPO AMOLED, 1B colors, 165Hz, Dolby Vision, HDR10+, 5000 nits (peak)","7.0 inches, 110.8 cm 2 (~87.3% screen-to-body ratio)",1224 x 2992 pixels (~462 ppi density),,Android 16,Qualcomm Snapdragon 8 Elite (3 nm),Octa-core (2x4.47 GHz Oryon+ 6x3.53 GHz Oryon),Adreno 830,No,512GB 16GB RAM,UFS 4.0,"50 MP, f/1.8, (wide), 1/1.56"", 2.0µm, PDAF, OIS 50 MP, f/2.0, 122˚ (ultrawide), 1/2.93"", 1.2µm","LED flash, panorama, HDR, Pantone Validated Colour and Skin Tones","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, Dolby Vision HDR10+","50 MP, f/2.0, (wide), 1.28µm","4K@30/60fps, 1080p@30/60fps",5000 mAh,68W wired 30W wireless 5W reverse wired,,"Second external LTPO AMOLED, 1B colors, Dolby Vision, 165Hz, HDR10+, 3000 nits (peak) 4 inches, 1272 x 1080 pixels, 417 ppi, Gorilla Glass Ceramic",,,
motorola,https://www.gsmarena.com/motorola_razr+_2026-14639.php,Motorola Razr+ 2026,Unfolded: 171.4 x 74 x 7.1 mm Folded: 88.1 x 74 x 15.3 mm,189 g (6.67 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), hinge (titanium)",Nano-SIM + eSIM,IP48 dust and water resistant (dust > 1mm; immersible up to 1.5m for 30 min),"Foldable LTPO AMOLED, 1B colors, Dolby Vision, 165Hz, HDR10+, 3000 nits (peak)","6.9 inches, 107.9 cm 2 (~85.1% screen-to-body ratio)",1084 x 2640 pixels (~414 ppi density),,Android 16,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,256GB 12GB RAM,UFS 4.0,"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS 50 MP, f/2.0, 122˚ (ultrawide), 1/2.76"", 0.64µm","LED flash, HDR, panorama, Pantone Validated Colour and Skin Tones","4K@30/60fps, 1080p@30/60/240fps,  HDR10+, Dolby Vision","32 MP, f/2.4, (wide), 0.7µm","4K@30/60fps, 1080p@30/60fps",4500 mAh,45W wired 15W wireless 5W reverse wired,,"Second external LTPS AMOLED, 1B colors, 165Hz, 2400 nits (peak) 4 inches, 1272 x 1080 pixels, 165Hz, 417 ppi, Gorilla Glass Victus",HDR,,
motorola,https://www.gsmarena.com/motorola_razr_70+-14642.php,Motorola Razr 70+,Unfolded: 171.4 x 74 x 7.1 mm Folded: 88.1 x 74 x 15.3 mm,189 g (6.67 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), hinge (titanium)",Nano-SIM + eSIM,IP48 dust and water resistant (dust > 1mm; immersible up to 1.5m for 30 min),"Foldable LTPO AMOLED, 1B colors, Dolby Vision, 165Hz, HDR10+, 3000 nits (peak)","6.9 inches, 107.9 cm 2 (~85.1% screen-to-body ratio)",1084 x 2640 pixels (~414 ppi density),,Android 16,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,256GB 12GB RAM,UFS 4.0,"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS 50 MP, f/2.0, 122˚ (ultrawide), 1/2.76"", 1.28µm","Pantone Validated, LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/240fps,  HDR10+, Dolby Vision","32 MP, f/2.4, (wide), 0.7µm","4K@30/60fps, 1080p@30/60fps",4500 mAh,45W wired 15W wireless 5W reverse wired,,"Second external LTPO AMOLED, 1B colors, 165Hz, 2400 nits (peak) 4 inches, 1272 x 1080 pixels, 165Hz, 417 ppi, Gorilla Glass Victus",HDR,,
motorola,https://www.gsmarena.com/motorola_razr_2026-14640.php,Motorola Razr 2026,Unfolded: 171.3 x 74 x 7.3 mm Folded: 88.1 x 74 x 15.9 mm,188 g (6.63 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass), aluminum frame, hinge (titaniuml)",Nano-SIM + eSIM,IP48 dust and water resistant (dust > 1mm; immersible up to 1.5m for 30 min) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"Foldable LTPO AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 3000 nits (peak)","6.9 inches, 107.6 cm 2 (~84.9% screen-to-body ratio)",1080 x 2640 pixels (~413 ppi density),,Android 16,Mediatek Dimensity 7450X (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM",UFS 3.1,"50 MP, f/1.7, (wide), 1/1.95"", 0.8µm, OIS 50 MP, f/2.0, 122˚ (ultrawide), 1/2.76"", 0.64µm","LED flash, panorama, HDR, Pantone Validated Colour and Skin Tones","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, (wide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30/60fps",Si/C Li-Ion 4800 mAh,30W wired 15W wireless,,"Second external AMOLED, 1B colors, 90Hz, HDR10+, 1700 nits (peak) 3.6 inches, 1056 x 1066 pixels, 413 ppi, Gorilla Glass Victus",HDR,,
motorola,https://www.gsmarena.com/motorola_razr_70-14643.php,Motorola Razr 70,Unfolded: 171.3 x 74 x 7.3 mm Folded: 88.1 x 74 x 15.9 mm,188 g (6.63 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass), aluminum frame, hinge (titaniuml)",Nano-SIM + eSIM,IP48 water resistant (up to 1.5m for 30 min) MIL-STD-810H compliant,"Foldable LTPO AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 3000 nits (peak)","6.9 inches, 107.6 cm 2 (~84.9% screen-to-body ratio)",1080 x 2640 pixels (~413 ppi density),,Android 16,Mediatek Dimensity 7450X (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM",UFS 3.1,"50 MP, f/1.7, (wide), 1/1.95"", 0.8µm, OIS 50 MP, f/2.0, 122˚ (ultrawide), 1/2.76"", 1.28µm","LED flash, panorama, HDR, Pantone Validated Colour and Skin Tones","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, (wide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30/60fps",Si/C Li-Ion 4800 mAh,30W wired 15W wireless,,"Second external AMOLED, 1B colors, 90Hz, HDR10+, 1700 nits (peak) 3.6 inches, 1056 x 1066 pixels, 413 ppi, Gorilla Glass Victus",HDR,,
motorola,https://www.gsmarena.com/motorola_edge_70_pro_5g-14620.php,Motorola Edge 70 Pro,162.7 x 75.6 x 7.2 mm (6.41 x 2.98 x 0.28 in),183 g or 190 g (6.46 oz),"Glass front (Gorilla Glass 7i), plastic frame, silicone polymer (eco leather) back",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 1B colors, 144Hz, PWM, HDR, 1800 (HBM), 5200 nits (peak)","6.78 inches, 112.4 cm 2 (~91.4% screen-to-body ratio)","1272 x 2772 pixels, 19.5:9 ratio (~450 ppi density)",Corning Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades",Mediatek Dimensity 8500 Extreme (4 nm),Octa-core (1x3.4 GHz Cortex-A725 & 3x3.2 GHz Cortex-A725 & 4x2.2 GHz Cortex-A725),Mali-G720 MC8,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 4.1,,"LED flash, HDR, panorama, Pantone Validated Colour and Skin Tones","4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, HDR10+","50 MP, f/1.9, (wide), 1/2.76"", 0.64µm, AF","4K@30fps, 1080p@30/120fps",Si/C Li-Ion 6500 mAh,"90W wired, PD3.0 15W wireless (region dependent) 10W reverse wireless (region dependent) 5W reverse wired",,,HDR,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 50 MP, f/2.5, 81mm (periscope telephoto), 1.0µm, PDAF, OIS, 3.5x optical zoom* 50 MP, f/2.0, 12mm, 122˚ (ultrawide), 1/2.76"", 0.64µm, PDAF *the availability of periscope telephoto is market/region dependent",
motorola,https://www.gsmarena.com/motorola_moto_pad_(2026)-14582.php,Motorola Moto Pad (2026),254.6 x 166.2 x 7 mm (10.02 x 6.54 x 0.28 in),480 g (1.06 lb),"Glass front, aluminum frame, aluminum back",Nano-SIM,Stylus support Splash resistant,"IPS LCD, 90Hz, 500 nits","11.0 inches, 350.9 cm 2 (~82.9% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~274 ppi density)",,Android 15,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,128GB 8GB RAM,UFS 2.2,,LED flash,Yes,"5 MP, (wide)",Yes,7040 mAh,20W wired,"8 MP, (wide), AF",,,,
motorola,https://www.gsmarena.com/motorola_moto_g_stylus_(2026)-14581.php,Motorola Moto G Stylus (2026),162.2 x 74.8 x 8.3 mm (6.39 x 2.94 x 0.33 in),192 g (6.77 oz),"Glass front (Gorilla Glass 3), silicone polymer (vegan leather) back, plastic frame",Nano-SIM + eSIM,Stylus IP68/IP69 dust tight and water resistant (immersible up to 1.5m for 30 min) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 1B colors, 120Hz, HDR, 5000 nits (peak)","6.7 inches, 108.4 cm 2 (~89.3% screen-to-body ratio)","1220 x 2712 pixels, 20:9 ratio (~444 ppi density)",Corning Gorilla Glass 3,"Android 16, up to 2 major Android upgrades",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM",UFS 3.1,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 13 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/3.0"", 1.12µm, PDAF","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps","32 MP, f/2.2, 22mm (wide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30/60fps",5200 mAh,68W wired 15W wireless,,,HDR,,
motorola,https://www.gsmarena.com/motorola_edge_70_fusion+_5g-14540.php,Motorola Edge 70 Fusion+,162.8 x 75.6 x 7.2 mm (6.41 x 2.98 x 0.28 in),177 g (6.24 oz),"Glass front (Gorilla Glass 7i), plastic frame",Nano-SIM + eSIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) Drop resistant up to 1.2m MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 1B colors, 144Hz, HDR10+, 5200 nits (peak)","6.8 inches, 113.1 cm 2 (~91.9% screen-to-body ratio)","1272 x 2772 pixels, 19.5:9 ratio (~449 ppi density)",Corning Gorilla Glass 7i,Android 16,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"256GB 12GB RAM, 512GB 12GB RAM",uMCP,,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","50 MP, f/2.0, (wide)","4K@30fps, 1080p@30fps, gyro-EIS",Si/C Li-Ion 5200 mAh,68W wired,,,"HDR, panorama","50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 10 MP, f/2.0, 73mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 50 MP, f/2.2, 120˚ (ultrawide), AF",
motorola,https://www.gsmarena.com/motorola_edge_70_fusion_5g-14432.php,Motorola Edge 70 Fusion,162.8 x 75.6 x 7.2 mm or 8 mm,177 g or 193 g (6.24 oz),"Glass front (Gorilla Glass 7i), plastic frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) Drop resistant up to 1.2m MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 1B colors, 144Hz, HDR10+, 5200 nits (peak)","6.78 inches, 112.4 cm 2 (~91.3% screen-to-body ratio)","1272 x 2772 pixels, 19.5:9 ratio (~450 ppi density)","Corning Gorilla Glass 7i, Mohs level 4","Android 16, up to 3 major Android upgrades",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm) - International Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm) - India,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520) - International Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520) - India,Adreno 810,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",uMCP,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, PDAF","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.2, (wide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30fps, gyro-EIS",Si/C Li-Ion 5200 mAh or 7000 mAh,68W wired,,,"HDR, panorama",,
motorola,https://www.gsmarena.com/motorola_moto_g77_5g-14433.php,Motorola Moto G77,164.2 x 77.4 x 7.3 mm (6.46 x 3.05 x 0.29 in),182 g (6.42 oz),"Glass front (Gorilla Glass 7i), silicone polymer (eco leather) back, plastic frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 1B colors, 120Hz, HDR, 5000 nits (peak)","6.78 inches, 112.4 cm 2 (~88.5% screen-to-body ratio)","1272 x 2772 pixels*, 19.5:9 ratio (~450 ppi density)","Corning Gorilla Glass 7i, Mohs level 4",Android 16,Mediatek Dimensity 6400 (6 nm),Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM",,"108 MP, f/1.7, (wide), 0.64µm, PDAF, OIS 8 MP, f/2.2, 119˚ (ultrawide), 1.12µm, AF","Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, (wide), 0.64µm","1440p@30fps, 1080p@30fps",5200 mAh,30W wired,,*Display resolution is not officially revealed,,,
motorola,https://www.gsmarena.com/motorola_moto_g67_5g-14434.php,Motorola Moto G67,164.2 x 77.4 x 7.3 mm (6.46 x 3.05 x 0.29 in),182 g (6.42 oz),"Glass front (Gorilla Glass 7i), silicone polymer (eco leather) back, plastic frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 1B colors, 120Hz, HDR, 5000 nits (peak)","6.78 inches, 112.4 cm 2 (~88.5% screen-to-body ratio)","1272 x 2772 pixels*, 19.5:9 ratio (~450 ppi density)","Corning Gorilla Glass 7i, Mohs level 4",Android 16,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",,"50 MP, f/1.8 (wide), 1/1.95"", 0.8µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm","Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, (wide), 0.64µm","1440p@30fps, 1080p@30fps",5200 mAh,30W wired,,*Display resolution is not officially revealed,,,
motorola,https://www.gsmarena.com/motorola_moto_g17_power-14452.php,Motorola Moto G17 Power,165.7 x 76 x 8.8 mm (6.52 x 2.99 x 0.35 in),-,"Glass front (Gorilla Glass 3), plastic frame, silicone polymer back (eco leather)",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"IPS LCD, 800 nits (typ), 1050 nits (HBM)","6.72 inches, 109.0 cm 2 (~86.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",Corning Gorilla Glass 3,Android 15,Mediatek Helio G81 Extreme (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"256GB 8GB RAM, 512GB 8GB RAM",,"50 MP, f/1.9, 26mm (wide), 1/2.0"", 0.8µm, PDAF 5 MP, f/2.2, 19mm (ultrawide), 1/5.0"", 1.12µm","Dual-LED flash, HDR, panorama",1080p@30fps,"32 MP, f/2.2, 22mm (wide), 1/3.1"", 0.7µm",1080p@30fps,6000 mAh,30W wired,,,HDR,,
motorola,https://www.gsmarena.com/motorola_moto_g17-14455.php,Motorola Moto G17,165.7 x 76 x 8.2 mm (6.52 x 2.99 x 0.32 in),189.9 g (6.67 oz),"Glass front (Gorilla Glass 3), plastic frame, silicone polymer back (eco leather)",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"IPS LCD, 800 nits (typ), 1050 nits (HBM)","6.72 inches, 109.0 cm 2 (~86.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)","Corning Gorilla Glass 3, Mohs level 5",Android 15,Mediatek Helio G81 Extreme (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",,"50 MP, f/1.9, 26mm (wide), 1/2.0"", 0.8µm, PDAF 5 MP, f/2.2, 19mm (ultrawide), 1/5.0"", 1.12µm","Dual-LED flash, HDR, panorama",1080p@30fps,"32 MP, f/2.2, 22mm (wide), 1/3.1"", 0.7µm",1080p@30fps,5200 mAh,18W wired,,,HDR,,
motorola,https://www.gsmarena.com/motorola_razr_fold_5g-14402.php,Motorola Razr Fold,Unfolded: 160.1 x 144.5 x 4.7 mm Folded: 160.1 x 73.6 x 10.1 mm,243 g (8.57 oz),,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP48/IP49 water resistant (high pressure water jets; immersible up to 1.5m for 30 min) Stylus support,"Foldable LTPO P-OLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 6200 nits (peak)","8.1 inches, 212.5 cm 2 (~91.9% screen-to-body ratio)",2232 x 2484 pixels (~410 ppi density),,"Android 16, up to 7 major Android upgrades",Qualcomm SM8845 Snapdragon 8 Gen 5 (3 nm),Octa-core (2x3.8 GHz Oryon V3 Phoenix L + 6x3.32 GHz Oryon V3 Phoenix M),Adreno 829,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.1,,"LED flash, HDR, panorama","8K@30fps (Dolby Vision), 4K@30/60fps (Dolby Vision), 4K@120fps, 1080p@30/60/120/240fps, 10-bit HDR10+, gyro-EIS","20 MP, f/2.4, 22mm (wide), 0.61µm Cover camera: 32 MP, f/2.4, 22mm (wide), 0.64µm","4K, 1080p",Si/C Li-Ion 6000 mAh,80W wired 50W wireless 5W reverse wireless Reverse wired,,"Cover display: LTPO P-OLED, 165Hz, 6.6 inches, 1080 x 2520 pixels, 1B colors Dolby Vision, HDR10+, 6000 nits (peak) Corning Gorilla Glass Ceramic 3",HDR,"50 MP, f/1.6, 23mm (wide), 1/1.28"", 1.22µm, multi-directional PDAF, OIS 50 MP, f/2.4, 71mm (periscope telephoto), 1/1.95"", 0.8µm, dual-pixel PDAF, OIS, 3x optical zoom 50 MP, f/2.0, 12mm, 122˚ (ultrawide), 1/2.76"", 0.64µm, PDAF",
