brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Display | ,Main Camera | Triple,Main Camera | Single,Selfie camera | Features
infinix,https://www.gsmarena.com/infinix_gt_50_pro_5g-14497.php,Infinix GT 50 Pro,162.4 x 77.2 x 8.2 mm (6.39 x 3.04 x 0.32 in),198 g (6.98 oz),"Glass front (Gorilla Glass 7i), plastic frame, plastic back",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Customizable RGB LEDs on the back Dual-pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)","6.78 inches, 106.6 cm 2 (~85.0% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~440 ppi density)",Corning Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Dimensity 8400 Ultimate (4 nm),Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,No,"256GB 12GB RAM, 512GB 12GB RAM",UFS 4.1,"50 MP, f/1.8, (wide), 0.8µm, PDAF, OIS 8 MP, f/2.2, 111˚ (ultrawide), 1/4.0"", 1.0µm, AF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm","4K@30fps, 1080p@30fps",6150 mAh or 6500 mAh,45W wired 30W wireless 10W reverse wired 5W reverse wireless Bypass Charging 2 Wireless bypass charging (accessory required),,,,
infinix,https://www.gsmarena.com/infinix_note_60_ultra_5g-14528.php,Infinix Note 60 Ultra,162.3 x 77.2 x 7.9 mm (6.39 x 3.04 x 0.31 in),220 g (7.76 oz),"Glass front (Gorilla Glass 7i), aluminum frame, Gorilla Glass Victus (camera island only)",Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP64 dust tight and water resistant (water splashes) Active matrix display (on the back),"AMOLED, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 112.1 cm 2 (~89.5% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~429 ppi density)",Corning Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Dimensity 8400 Ultimate (4 nm),Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,No,"256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0,,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR10+","32 MP, f/2.2, (wide)","4K@30fps, 1080p@30/60fps",Si/C Li-Ion 7000 mAh,"100W wired, 50% in 18 min, 100% in 48 min 50W wireless 10W reverse wired 10W reverse wireless Bypass Charging (gaming, navigating)",Ultra HDR support,"200 MP, f/1.7, 23mm (wide), 1/1.4"", 0.56µm, dual-pixel PDAF, OIS 50 MP, f/2.9, 80mm (periscope telephoto), 1/2.76"", 0.64µm, dual-pixel PDAF, OIS, 3.5x optical zoom 8 MP, f/2.2, 112˚ (ultrawide), 1.12µm",,
infinix,https://www.gsmarena.com/infinix_note_60_pro_5g-14499.php,Infinix Note 60 Pro,162.4 x 77.2 x 7.4 mm (6.39 x 3.04 x 0.29 in),201.7 g (7.13 oz),"Glass front (Gorilla Glass 7i), aluminum frame, aluminum back",Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP64 dust tight and water resistant (water splashes) RGB notification light & active matrix display (on the back),"AMOLED, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 112.1 cm 2 (~89.4% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~429 ppi density)",Corning Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 2.2,"50 MP, f/1.6, (wide), 0.8µm, PDAF, OIS 8 MP, f/2.2, 112˚ (ultrawide), 1.12µm","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps","13 MP, f/2.2, (wide), 1.12µm","4K@30fps, 1080p@30/60fps",6000 mAh or 6500 mAh,"90W wired, 50% in 16 min, 100% in 41 min (6500 mAh) 90W wired, 50% in 14 min, 100% in 35 min (6000 mAh) 30W wireless 7.5W reverse wired 5W reverse wireless Bypass Charging (gaming, navigating)",Ultra HDR support,,,
infinix,https://www.gsmarena.com/infinix_note_60_5g-14498.php,Infinix Note 60,162.4 x 77.2 x 7.5 mm (6.39 x 3.04 x 0.30 in),199 g (7.02 oz),"Glass front (Gorilla Glass 7i), aluminum frame, aluminum back",Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP64 dust tight and water resistant (water splashes) RGB notification light (on the back) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 112.1 cm 2 (~89.4% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~429 ppi density)",Corning Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Dimensity 7400 Ultimate (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,"50 MP, f/1.6, (wide), 0.8µm, PDAF, OIS 8 MP, f/2.2, 112˚ (ultrawide), 1.12µm","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps","13 MP, f/2.2, (wide), 1.12µm","4K@30fps, 1080p@30/60fps",6150 mAh or 6500 mAh,"45W wired, 50% in 26 min, 100% in 54 min 30W wireless Bypass Charging (gaming, navigating)",Ultra HDR support,,,
infinix,https://www.gsmarena.com/infinix_smart_20-14502.php,Infinix Smart 20,167.7 x 78.8 x 7.7 mm (6.60 x 3.10 x 0.30 in),-,"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz, 700 nits (HBM)","6.78 inches, 109.5 cm 2 (~82.9% screen-to-body ratio)","720 x 1576 pixels, 19.5:9 ratio (~259 ppi density)",,"Android 16, XOS 16",Mediatek Helio G81 Ultimate (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM",eMMC 5.1,,"Dual-LED flash, panorama","1440p@30fps, 1080p@30fps","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","1440p@30fps, 1080p@30fps",5200 mAh,15W wired 5W reverse wired,,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AF",
infinix,https://www.gsmarena.com/infinix_note_edge_5g-14421.php,Infinix Note Edge,163.1 x 77.4 x 7.2 mm (6.42 x 3.05 x 0.28 in),190 g (6.70 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"AMOLED, 1B colors, 120Hz, 2160Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 112.1 cm 2 (~88.8% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~429 ppi density)",Corning Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Dimensity 7100 (6 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps","13 MP, f/2.2 (wide)","1440p@30fps, 1080p@30fps",6500 mAh,"45W wired, 50% in 27 min 10W reverse wired Bypass charging",,,"50 MP, (wide), 1/2.0"", 0.8µm,  PDAF",
infinix,https://www.gsmarena.com/infinix_xpad_20_pro-14116.php,Infinix Xpad 20 Pro,278.6 x 173.6 x 6.6 mm (10.97 x 6.83 x 0.26 in),545 g (1.20 lb),"Glass front, aluminum frame, aluminum back",Nano-SIM,Stylus support,"IPS LCD, 90Hz, 450 nits","12.0 inches, 409.9 cm 2 (~84.7% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~194 ppi density)",,Android 15,Mediatek Helio G100 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,,"LED flash, panorama","1440p@30fps, 1080p@30fps","5 MP, f/2.0","1440p@30fps, 1080p@30fps",8000 mAh,18W wired Reverse wired,,,"8 MP, f/2.0, AF",
infinix,https://www.gsmarena.com/infinix_hot_60i_5g-14072.php,Infinix Hot 60i,167.4 x 77.7 x 8.1 mm (6.59 x 3.06 x 0.32 in),199 g (7.02 oz),,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz, 560 nits (typ), 670 nits (HBM)","6.75 inches, 110.0 cm 2 (~84.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Android 15, XOS 15.1",Mediatek Dimensity 6400 (6 nm),Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),128GB 4GB RAM,eMMC,,"Dual-LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.0, (wide)",1080p@30fps,6000 mAh,18W wired 10W reverse wired Bypass charging,,,"50 MP, f/1.6, (wide), AF Auxiliary lens",
infinix,https://www.gsmarena.com/infinix_gt_30_5g-14044.php,Infinix GT 30,163.7 x 75.8 x 8 mm (6.44 x 2.98 x 0.31 in),187 g (6.60 oz),"Glass front (Gorilla Glass 7i), plastic frame, plastic back",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Customizable RGB LEDs on the back Pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~89.4% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)",Corning Gorilla Glass 7i,"Android 15, up to 2 major Android upgrades, XOS 15",Mediatek Dimensity 7400 (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,"64 MP, f/1.8, 23mm (wide), 1/1.73"", 0.8μm, PDAF 8 MP, f/2.2, 111˚, (ultrawide), AF","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps","13 MP, f/2.2, 25mm (wide)","4K@30fps, 1080p@30fps",5500 mAh,45W wired 10W reverse wired Bypass Charging,,,,
infinix,https://www.gsmarena.com/infinix_hot_60_5g-14006.php,Infinix Hot 60,166 x 76.8 x 7.8 mm (6.54 x 3.02 x 0.31 in),193 g (6.81 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"IPS LCD, 120Hz, 560 nits (typ), 700 nits (HBM)","6.7 inches, 108.4 cm 2 (~85.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,"Android 15, up to 3 major Android upgrades, XOS 15.1",Mediatek Dimensity 7020 (6 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 256GB 8GB RAM",UFS,"50 MP, f/1.6, (wide), AF other unspecified cameras",Dual-LED flash,"1440p@30fps, 1080p@30/60/120fps","8 MP, f/2.0, (wide), 1/4.0""",Yes,5200 mAh,18W wired 10W reverse wired Bypass charging,,,,LED flash
infinix,https://www.gsmarena.com/infinix_hot_60_pro+-14002.php,Infinix Hot 60 Pro+,164 x 75.8 x 6 mm (6.46 x 2.98 x 0.24 in),155 g (5.47 oz),"Glass front (Gorilla Glass 7i), plastic frame, glass-fiber reinforced plastic back or silicone polymer (eco leather) back",Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets) Drop resistant up to 1.5m RGB notification light (on the back),"AMOLED, 144Hz, 2160Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~89.3% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)",Corning Gorilla Glass 7i,"Android 15, up to 3 major Android upgrades, XOS 15.1",Mediatek Helio G200 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz),No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","13 MP, f/2.0, 22mm (wide), 1/3.1"", 1.12µm","1440p@30fps, 1080p@30/60fps",5160 mAh,"45W wired, 50% in 22 min 10W reverse wired Bypass charging",,,"50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF Auxiliary lens",Dual-LED flash
infinix,https://www.gsmarena.com/infinix_hot_60_pro-14003.php,Infinix Hot 60 Pro,163.5 x 75.9 x 6.6 mm (6.44 x 2.99 x 0.26 in),170 g (6.00 oz),"Glass front (Gorilla Glass 7i), plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"AMOLED, 144Hz, 2160Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~89.4% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)",Corning Gorilla Glass 7i,"Android 15, up to 3 major Android upgrades, XOS 15.1",Mediatek Helio G200 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz),microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps","13 MP, f/2.2, 24mm (wide), 1/3.1"", 1.12µm","1440p@30fps, 1080p@30/60fps",5160 mAh,"45W wired, 50% in 22 min 10W reverse wired",,,"50 MP, f/1.6, 27mm (wide), 1/2.8"", 0.64µm, PDAF Auxiliary lens",
infinix,https://www.gsmarena.com/infinix_hot_60i-13983.php,Infinix Hot 60i 4G,166 x 76.6 x 7.7 mm (6.54 x 3.02 x 0.30 in),188 g (6.63 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz, 700 nits (HBM)","6.7 inches, 108.4 cm 2 (~85.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,"Android 15, XOS 15.1",Mediatek Helio G81 Ultimate (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",eMMC5.1,,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps","8 MP, (wide)",Yes,5160 mAh,"45W wired, 50% in 24 min 10W reverse wired Bypass charging",,,"50 MP, (wide), AF Auxiliary lens",
infinix,https://www.gsmarena.com/infinix_smart_10_hd-13954.php,Infinix Smart 10 HD,163.6 x 75.6 x 8.5 mm (6.44 x 2.98 x 0.33 in),184 g (6.49 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz, 500 nits (peak)","6.6 inches, 104.6 cm 2 (~84.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,Android 14 (Go edition),(12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MC1,microSDXC (dedicated slot),64GB 2GB RAM,eMMC 5.1,,Quad-LED flash,1080p@30fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",1080p@30fps,5000 mAh,10W wired Reverse wired,,,"13 MP, f/1.9, 27mm (wide), AF",
infinix,https://www.gsmarena.com/infinix_smart_10_plus-13953.php,Infinix Smart 10 Plus,165.6 x 77 x 8 mm (6.52 x 3.03 x 0.31 in),198 g (6.98 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz, 700 nits (HBM)","6.67 inches, 107.4 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)",,"Android 15, XOS 15.1",Unisoc T7250 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 8GB RAM",eMMC 5.1,,"Dual-LED flash, panorama","1440p@30fps, 1080p@30fps","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","1440p@30fps, 1080p@30fps",6000 mAh,18W wired Reverse wired,,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AF",
infinix,https://www.gsmarena.com/infinix_smart_10-13933.php,Infinix Smart 10,165.6 x 77 x 8.3 mm (6.52 x 3.03 x 0.33 in),187 g (6.60 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz, 700 nits (HBM)","6.67 inches, 107.4 cm 2 (~84.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~263 ppi density)",,"Android 15/15 (Go edition), XOS 15.1",Unisoc T7250 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 4GB RAM, 256GB 8GB RAM",eMMC 5.1,,"Dual-LED flash, panorama","1440p@30fps, 1080p@30fps","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","1440p@30fps, 1080p@30fps",5000 mAh,15W wired Reverse wired,,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AF",
infinix,https://www.gsmarena.com/infinix_xpad_20-13922.php,Infinix Xpad 20,257.7 x 169.2 x 7.9 mm (10.15 x 6.66 x 0.31 in),498 g (1.10 lb),,Nano-SIM,,"IPS LCD, 90Hz, 440 nits","11.0 inches, 350.9 cm 2 (~80.5% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",,Android 15,Mediatek Helio G88 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",eMMC 5.1,,"LED flash, panorama",1080p@30fps,5 MP,Yes,7000 mAh,10W wired Reverse wired,,,8 MP,
infinix,https://www.gsmarena.com/infinix_gt_30_pro_5g-13889.php,Infinix GT 30 Pro,163.7 x 75.8 x 8 mm (6.44 x 2.98 x 0.31 in),189 g (6.67 oz),"Glass front (Gorilla Glass 7i), plastic frame, plastic back",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Customizable RGB LEDs on the back Pressure sensitive zones (Gaming triggers),"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~89.4% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)",Corning Gorilla Glass 7i,"Android 15, up to 2 major Android upgrades, XOS 15",Mediatek Dimensity 8350 Ultimate (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 4.0,"108 MP, f/1.9, (wide), 1/1.33"", 0.8µm, PDAF 8 MP, f/2.2, 111˚ (ultrawide), 1/4.0"", 1.0µm, AF","Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm","4K@30fps, 1080p@30fps",5200 mAh or 5500 mAh,45W wired 30W wireless 10W reverse wired 5W reverse wireless Bypass Charging 2,,,,
infinix,https://www.gsmarena.com/infinix_xpad_gt-13890.php,Infinix Xpad GT,291.7 x 191.1 x 6.5 mm (11.48 x 7.52 x 0.26 in),655 g (1.44 lb),"Glass front (Gorilla Glass 3), aluminum frame, aluminum back",No,Stylus support,"IPS LCD, 1B colors, 144Hz, HDR10, 700 nits (peak)","13.0 inches, 494.7 cm 2 (~88.7% screen-to-body ratio)",2880 x 1840 pixels (~263 ppi density),Corning Gorilla Glass 3,Android 14,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,256GB 8GB RAM,UFS 3.1,,LED flash,1080p@30fps,"9 MP, f/2.2",1080p@30fps,10000 mAh,33W wired 10W reverse wired,,,"13 MP, f/2.0, AF",
infinix,https://www.gsmarena.com/infinix_note_50s_5g-13793.php,Infinix Note 50s,164.3 x 74.5 x 7.6 mm (6.47 x 2.93 x 0.30 in),180 g (6.35 oz),,Nano-SIM + Nano-SIM,Scent micro encapsulation technology (lasts up to six months) IP64 dust tight and water resistant (water splashes) RGB notification light (on the back) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 1300 nits (peak)","6.78 inches, 109.9 cm 2 (~89.8% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),Corning Gorilla Glass 5,"Android 15, up to 2 major Android upgrades, XOS 15",Mediatek Dimensity 7300 Ultimate (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"64 MP, f/1.8, (wide), 1/1.73"", 0.8µm, PDAF 2 MP","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps","13 MP, f/2.2, (wide)","4K@30fps, 1080p@30fps",5500 mAh,"45W wired, 100% in 60 min 10W reverse wired Bypass Charging",,,,
